",",COLLEGE NAME, WEBSITE,ADRESS
192,"Fairfield Institute Of Management & Technology FIMT, New Delhi",http://www.fimt-ggsipu.org/,
193,"Falakata BEd College, Falakata",https://www.falakatabedcollege.com/,
194,"Falakata College, Jalpaiguri",http://www.falakatacollege.org.in/,
195,"Footwear Design & Development Institute FDDI, Noida",https://www.fddiindia.com/,
196,"Forest College & Research Institute (FCRI), Hyderabad",http://www.fcrits.in/,
197,"Fr Agnel College Of Arts & Commerce, Pilar",https://www.fragnelcollege.edu.in/,
198,"Frankfinn Institute Of Air Hostess Training, Dehradun",https://www.frankfinn.com/,
199,"Future Institute of Technology (FIT), Garia, Kolkata",http://www.future-technology.in/,
200,"G D Bagaria Teachers Training College, Giridih",http://www.gdbagariateachertrainingcollege.org/,
201,G Pulla Reddy Engineering College,http://www.gprec.ac.in/,
202,"Galaxy Pvt ITI, Paonta Sahib",http://galaxyprivateiti.org/,
203,"Gandhi Institute For Technology GIFT, Bhubaneswar",https://college.gift.edu.in/,
204,Gandhi Institute of Technology & Management,https://www.gitam.edu/,
205,"Gate Degree College, Tirupati",null,
206,"Gate Institute of Technology And Management Sciences, Tirupati",http://www.gatetirupati.com/,
207,"Gateway College Of Architecture And Design GCAD, Sonipat",https://gateway.edu.in/gcad/,
208,"Gateway Institute Of Engineering & Technology GIET, Sonipat",https://gateway.edu.in/giet/,
209,"Gateway Institute Of Hotel & Tourism Management, Sonipat",https://gateway.edu.in/gihm/,
210,"Gayatri College of Science & Management, Srikakulam",null,
211,"Gayatri Degree & PG College, Tirupati",http://www.gayatricollege.in/,
212,"Geeta Arya College Of Education, Julana",http://www.geetaaryacollegeofeducation.com/,
213,Geetanjali College of Pharmaceutical Studies Udaipur Rajasthan,https://www.geetanjaliuniversity.com/,
214,"Geetanjali Institute Of Technical Studies, Udaipur",https://www.gits.ac.in/,
215,"Geethanjali Institute of Science and Technology (GIST), Nellore",http://www.gist.edu.in/,
216,"Ghoom Jorebunglow Degree College, Darjeeling",http://ghoomjorebunglowcollege.com/,
217,"Global Tech Institute Of Management GTIM, New Delhi",https://gtim.edu.in/,
218,GMR Institute of Technology,http://www.gmrit.org/,
219,"Goa College Of Architecture, Panaji",https://www.gcarch.goa.gov.in/,
220,"Goa College Of Art, Panaji",https://www.goacollegeofart.com/,
221,"Goa College Of Engineering, Ponda",http://www.gec.ac.in/,
222,"Goa College Of Engineering, Ponda",http://www.gec.ac.in/,
223,"Goa College Of Home Science, Panaji",http://www.goahomescience.gov.in/,
224,"Goa College Of Hospitality & Culinary Education, Vainguinim Beach",https://www.goahospitalitycollege.com/,
225,"Goa Dental College And Hospital, Bambolim",http://gdch.goa.gov.in/,
226,Godavari Institute of Engineering & Technology,http://www.giet.ac.in/,
227,"Gopabandhu Science College, Athgarh",http://www.gscathgarh.in/index,
228,"Goswami Tulsidas Govt. PG College Karwi, Chitrakoot",https://www.gtgdc.org/index.php,
229,"Government Arts College, Jam Kalyanpur",null,
230,"Government Arvind College, Kirandul",http://www.gackdl.com/,
231,"Government College For Women GCW, Parade",https://www.gcwparade.in/,
232,"Government College Of Engineering & Technology, Jammu",http://gcetjammu.org.in/,
233,"Government College Of Nursing, Kozhikode",https://govcnc.org/,
234,"Government College, Anantapur",http://www.gdcatp.org/,
235,"Government College, Bomdila",http://govtcollegebomdila.in/,
236,"Government College, Khandar",https://hte.rajasthan.gov.in/college/gckhandar,
237,"Government College, Kurwai",https://www.govcollegekurwai.in/,
238,"Government College, Nagina",http://gcnagina.ac.in/Home,
239,"Government College, Rhenock",http://sgcrhenock.in/,
240,"Government College, Yachuli",http://www.gcyachuli.ac.in/,
241,"Government Degree College, Akhnoor",http://gdcakhnoor.com/,
242,"Government Degree College, Bhadarwah",https://www.gdcbhadarwah.com/,
243,"Government Degree College, Charkhari",null,
244,"Government Degree College, Dharmanagar",http://www.gdcdharmanagar.in/,
245,"Government Degree College, Doimukh",http://www.gcdap.org/,
246,"Government Degree College, Kamalpur",http://gdcktripura.nic.in/,
247,"Government Degree College, Kangan",http://gdckangan.com/,
248,"Government Degree College, Paloura",http://www.gdcpaloura.in/,
249,"Government Dental College and Hospital, Hyderabad",https://gdchyd.com/,
250,"Government First Grade College, Holenarasipura",https://gfgc.kar.nic.in/holenarsipur-women,
251,"Government Girls Polytechnic, Almora",http://ggpalmora.org.in/,
252,"Government Girls Polytechnic, Kotabagh",http://www.gpkotabagh.org.in/,
253,"Government Girls Polytechnic, Suddhowala",http://www.ggpdun.com/,
254,"Government Gundadhur PG College, Kondagaon",http://ggckondagaon.in/,
255,"Government Homeopathic Medical College, Thiruvananthapuram",http://www.ghmct.org/,
256,"Government Johnson College, Aizawl",null,
257,"Government Kamalanagar College, Kamalanagar",http://www.gknc.in/,
258,"Government Law College, Ernakulam",http://glcekm.com/,
259,"Government Lawngtlai College (GLC), Lawngtlai",http://www.lawngtlaicollege.mizoram.gov.in/,
260,"Government Medical College, Jammu",http://www.gmcjammu.nic.in/,
261,"Government Medical College, Kannauj",http://govtmckannauj.in/,
262,"Government MH College Of Home Science & Science For Women, Jabalpur",http://www.gmhcollege.org.in/,
263,"Government Model College, Seppa",http://www.gmcseppa.com/,
264,"Government P.G College For Women, Rohtak (GPGCW, Rohtak)",https://gcwrohtak.com/,
265,"Government Physiotherapy College, Raipur",https://business.google.com/website/gpcraipur,
266,"Government Polytechnic, Bhaga",http://www.gpbhaga.com/,
267,"Government Polytechnic, Dwarahat",http://www.gpdwarahat.com/,
268,"Government Polytechnic, Kabirdham",https://gpkabirdham.ac.in/,
269,"Government Polytechnic, Koderma",http://gp-koderma.org/,
270,"Government Polytechnic, Narendranagar",http://www.gpnngr.org.in/,
271,"Government Polytechnic, Shaktifarm",http://www.governmentpolytechnicshaktifarm.com/,
272,"Government Rewtiraman Mishra PG College, Surajpur",http://www.govtcollegesurajpur.ac.in/index.aspx,
273,"Government Saiha College, Saiha",http://www.governmentsaihacollege.edu.in/,
274,"Government Serchhip College (GSC), Serchhip",http://www.serchhipcollege.ac.in/,
275,"Government Teachers Training Institute, Port Blair",null,
276,"Govindbhai Jorabhai Patel AyurvedIc College & Research Centre, Anand",http://www.ayugjac.edu.in/,
277,"Govt Art & Commerce College, Rampur Naikin",null,
278,"Govt Degree College For Women, Kathua",http://www.gdcwkathua.in/,
279,"Govt Degree College, Bani",http://www.gdcbani.com/,
280,"Govt Degree College, Budhal",http://www.gdcbudhal.com/,
281,"Govt Degree College, Dharmari",https://www.gdcdharmari.co.in/,
282,"Govt Degree College, Gool",http://www.gdcgool.com/,
283,"Govt Degree College, Jindrah",https://www.gdcjindrah.co.in/,
284,"Govt Degree College, Kargil",http://universityofladakh.org.in/dckargil.php,
285,"Govt Degree College, Khour",http://www.gdckhour.com/,
286,"Govt Degree College, Khumulwng",http://khumulwngcollege.in/,
287,"Govt Degree College, Mahanpur",https://www.gdcmahanpur.co.in/,
288,"Govt Degree College, Nowshera",http://www.gdcnowshera.co.in/,
289,"Govt Degree College, Surankote",https://www.gdcsurankote.in/,
290,"Govt Hnahthial College, Hnahthial",null,
291,"Govt Homoeopathic Medical College, Bhopal",http://www.ghmcbhopalayush.com/,
292,"Govt Industrial Training Institute ITI, Berthin",https://www.itiberthin.org/,
293,"Govt Industrial Training Institute ITI, Chintpurni",http://www.itichintpurni.org/,
294,"Govt Industrial Training Institute ITI, Kullu",http://itikullu.in/,
295,"Govt J Buana College, Lunglei",null,
296,"Govt J Thankima College, Aizawl",null,
297,"Govt Khawzawl College, Khawzawl",http://khawzawlcollege.com/,
298,"Govt Mizoram Law College MLC, Aizawl",https://mlc.mizoram.gov.in/,
299,"Govt Naveen Mahavidyalaya, Odgi",http://govtcollegeodgi.ac.in/,
300,"Govt Saitual College, Saitual",http://saitualcollege.net/,
301,"Govt Shahid Gend Singh College, Charma",http://www.govtcollegecharama.in/,
302,"Govt T Romana College, Aizawl",http://www.trcollege.net/,
303,"Govt Technical Training Centre, Chennai",http://gttcguindy.in/,
304,"Govt Womens Polytechnic College, Jabalpur",http://www.gwpcjabalpur.org/,
305,"Govt Zirtiri Residential Science College, Aizawl",http://www.gzrsc.edu.in/,
306,"Govt. Degree College, Drass",http://universityofladakh.org.in/dcdrass.php,
307,"Govt. Degree College, Khaltsi",http://universityofladakh.org.in/dckhaltsi.php,
308,"Govt. Degree College, Nubra",http://universityofladakh.org.in/dcnubra.php,
309,"Govt. Degree College, Zanskar",http://universityofladakh.org.in/dczanskar.php,
310,Gramothan Vidyapeeth Mahila College Alwar Rajasthan,https://gramotthancollege.com/,
311,"Graphic Era University, Dehradun",https://www.geu.ac.in/,
